"Property Name",,"vi-VN","Node Path","Description"
"Value","View Item Visibility","Xem Mục Có thể thấy được","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility",
"Value","Hide","Ẩn","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Hide",
"Value","Show","Hiện","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Show",
"Value","Show empty space","Hiển thị khoảng trống","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\ShowEmptySpace",
"Value",,"Mục bảng tin có thể hiển thị","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility",
"Value",,"Ẩn","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Hidden",
"Value",,"Hiện","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Visible",
"Value","Actions Toolbar Visibility","Actions Toolbar Visibility","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility",
"Value","Default","Default","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Default",
"Value","Hide","Hide","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Hide",
"Value","Show","Show","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Show",
"Value","Unable to create action for method {0} of class {1}. Action method should be non-generic","Không thể tạo được hành động cho phương thức {0} của lớp {1}. Phương thức hành động nên không chung chung","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeNonGeneric",
"Value","Unable to create action for method {0} of class {1}. Action method should be parameterless","Không thể tạo được hành động cho phương thức {0} của lớp {1}. Phương thức hành động nên phi tham số","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeParameterless",
"Value","The ObjectSpace has already been assigned to another root view: '{0}'. This error occurs only when you try to assign an ObjectSpace that is already used by a root View to another root view. For instance, you may receive this error when using the XafApplication.CreateDetailView/CreateListView methods in a ViewController and passing the View.ObjectSpace object as a parameter to these methods when the View.IsRoot property is true.\r\nTo avoid this error it's sufficient to pass a new ObjectSpace instance created via the XafApplication.CreateObjectSpace method in these methods, or create non-root Views by passing a corresponding parameter to these methods.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","ObjectSpace đã được gán cho view gốc khác: '{0}'. Lỗi này chỉ xảy ra khi bạn cố gắng gán một ObjectSpace đã được sử dụng bởi một View gốc xác định sang một view gốc khác. Ví dụ, bạn có thể nhận được lỗi này khi sử dụng các phương thức XafApplication.CreateDetailView/CreateListView trong một ViewController và thông qua đối tượng View.ObjectSpace như một tham số cho các phương thức này khi thuộc tính View.IsRoot là true.\r\nĐể tránh lỗi này hãy tạo một ObjectSpace mới thông qua phương thức XafApplication.CreateObjectSpace, hoặc tạo ra các View không phải gốc bằng cách truyền một tham số tương ứng cho các phương thức này.\r\nNếu điều này không giúp được gì, xin vui lòng liên hệ với Nhóm Hỗ trợ của chúng tôi tại http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\AlreadyUsedObjectSpace",
"Value","An error has occurred while loading the model. Source: '{0}'","Một lỗi đã xảy ra trong khi nạp model. Nguồn: '{0}'","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileLoadingTheModel",
"Value","An error occurs while processing a shortcut: {0}","Một lỗi xảy ra trong khi xử lý một phím tắt: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileProcessingAShortcut",
"Value","An error has occurred, context: {0}","Một lỗi đã xảy ra, ngữ cảnh: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWithContext",
"Value","An unsaved object cannot be shown","Một đối tượng chưa lưu không thể hiển thị được","Localization\Exceptions\SystemExceptions\AnUnsavedObjectCannotBeShown",
"Value","Application isn't started","Ứng dụng không khởi động được","Localization\Exceptions\SystemExceptions\ApplicationIsNotStarted",
"Value","The application cannot be updated because the '{1}' assembly doesn't exist in the '{0}' folder.","Ứng dụng không thể cập nhật được bởi vì assembly '{1}' không tồn tại trong thư mục '{0}'.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterAssemblyDoesNotExist",
"Value","Cannot run the application. The database version is newer than the application version, but the server with the new application version is not found. Ask the administrator to check that the configuration file contains a correct path to the new application version.","Không thể chạy ứng dụng. Phiên bản cơ sở dữ liệu mới hơn so với phiên bản ứng dụng, nhưng máy chủ chứa phiên bản ứng dụng mới không được tìm thấy. Hãy hỏi người quản trị để kiểm tra tệp cấu hình chứa một đường dẫn hợp lệ cho phiên bản ứng dụng mới.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterDatabaseVersionIsNewer",
"Value","Attribute modifying failed","Thay đổi thuộc tính thất bại","Localization\Exceptions\SystemExceptions\AttributeModifyingFailed",
"Value","Attribute '{0}' should start with the '@' symbol: '{1}'","Thuộc tính '{0}' nên bắt đầu với ký hiệu '@': '{1}'","Localization\Exceptions\SystemExceptions\AttributeShouldStartWithSymbol",
"Value","The updatingReadOnlyDataStore.AutoCreateOption is {0}","updatingReadOnlyDataStore.AutoCreateOption là {0}","Localization\Exceptions\SystemExceptions\AutoCreateOptionIs",
"Value","You cannot access the Collection property because the Collection Source is being initialized now. This error may occur, for example, when you try to access the Collection property in the OnActivated method of a ViewController. To avoid this error it's necessary to access the Collection property at a later time, when the Collection Source is already initialized. The best way to do this is to handle the CollectionChanged event. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Bạn không thể truy cập thuộc tính Collection bởi vì Collection Source bây giờ đang được khởi tạo. Lỗi này có thể xảy ra, chẳng hạn, khi bạn cố gắng truy cập thuộc tính Collection trong phương thức OnActivated của một ViewController. Để tránh lỗi này điều cần thiết là truy cập thuộc tính Collection muộn hơn, khi Collection Source đã được khởi tạo. Cách tốt nhất để làm điều này là xử lý sự kiện CollectionChanged. Hãy tham khảo tài liệu của sản phẩm để biết thông tin chi tiết về các lớp và phương thức này. Nếu điều này không giúp được gì, xin vui lòng liên hệ với nhóm Hỗ trợ của chúng tôi tại http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CannotAccessCollectionCollectionSourceIsBeingIntialized",
"Value","Can't add the '{0}' collection","Không thể thêm tập '{0}'","Localization\Exceptions\SystemExceptions\CannotAddCollectionProperty",
"Value","Can't add duplicate property editor: '{0}'","Không thể thêm trình soạn thảo thuộc tính trùng: '{0}'","Localization\Exceptions\SystemExceptions\CannotAddDuplicateProperty",
"Value","Can't add to Empty singleton. Create new instance of collection","Không thể thêm vào singleton trống. Hãy khởi tạo tập mới","Localization\Exceptions\SystemExceptions\CannotAddToEmptySingleton",
"Value","Cannot create appropriate detail item for the '{0}'","Không thể tạo mục chi tiết thích hợp cho '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateAppropriateDetailItem",
"Value","Cannot create appropriate property editor for the '{0}.{1}' property","Không thể tạo trình soạn thảo thuộc tính thích hợp cho thuộc tính '{0}.{1}'","Localization\Exceptions\SystemExceptions\CannotCreateAppropriatePropertyEditorForTheProperty",
"Value","Can't change schema for attribute","Can't change schema for attribute","Localization\Exceptions\SystemExceptions\CannotCreateSchemaForAttribute",
"Value","Cannot create template by name: '{0}'","Không thể tạo mẫu với tên: '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateTemplateByName",
