"Property Name",,"ru","Node Path","Description"
"Value","The database version is greater than the application version. The application needs to be updated. Please contact your system administrator or download a new version.\r\nAdditional information: the local version {0} of module '{1}' is smaller than version {2} in the database.","Версия базы данных больше, чем версия приложения. Приложение нуждается в обновлении. Пожалуйста, обратитесь к системному администратору или загрузите новую версию. \r\n Дополнительная информация: локальная версия {0} модуля '{1}' меньше, чем версия {2} в базе данных.","Localization\Exceptions\SystemExceptions\CompatibilityApplicationIsOldError",
"Value","The database version is older than the application version. The database needs to be updated.","База данных имеет более раннюю версию, чем приложение. База данных должна быть обновлена.","Localization\Exceptions\SystemExceptions\CompatibilityDatabaseIsOldError",
"Value","Config file '{0}' doesn't exists","Конфигурационный файл {0} не существует","Localization\Exceptions\SystemExceptions\ConfigFileDoesNotExists",
"Value","The 'add\[@key=""Modules""]' node should contain module list, config file '{0}'","Элемент 'add\[@key=\""Modules\""]' должен содержать список модулей, конфигурационный файл '{0}'","Localization\Exceptions\SystemExceptions\ConfigFileHasNoModuleNames",
"Value","Unable to set '{0}' property. Current object is not set","Невозможно установить свойство '{0}'. Не установлен текущий объект","Localization\Exceptions\SystemExceptions\CurrentObjectIsNotSet",
"Value","To avoid this error it's necessary to assign the CustomizePopupWindowParamsEventArgs.View property when handling the CustomizePopupWindowParams event. To accomplish this, create a View using the XafApplication.CreateDetailView/CreateListView methods. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Чтобы избежать этой ошибки, необходимо инициализировать свойство CustomizePopupWindowParamsEventArgs.View, при обработке события CustomizePopupWindowParams. Создайте представление, используя методы XafApplication.CreateDetailView/CreateListView. Обратитесь к документации продукта для получения подробной информации об этих классах и методах. Если это не поможет, пожалуйста, свяжитесь с нашей Службой Поддержки на http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CustomizePopupWindowParamsEventArgsViewIsNull",
"Value","A dataLayer already exists: '{0}'","dataLayer уже существует: '{0}'","Localization\Exceptions\SystemExceptions\DataLayerAlreadyExists",
"Value","Dictionary path item parsing failed. There is a syntax error in expression '{0}'","Разбор элемента словарного пути завершился c ошибкой. Синтаксическая ошибка в выражении '{0}'","Localization\Exceptions\SystemExceptions\DictionaryPathItemParsingFailed",
"Value","Dictionary path parsing failed. There is a syntax error in expression '{0}'","Разбор словарного пути завершился c ошибкой. Синтаксическая ошибка в выражении '{0}'","Localization\Exceptions\SystemExceptions\DictionaryPathParsingFailed",
"Value","Duplicate Component Identifier '{0}'","Дублирующийся идентификатор компонента '{0}'","Localization\Exceptions\SystemExceptions\DuplicateComponentIdentifier",
"Value","Error occurs while adding the '{2}' custom property ('{0}' property type) to the '{1}' type: '{3}'","Ошибка при добавлении пользовательского свойства '{2}' (тип свойства: '{0}') к типу '{1}': '{3}'","Localization\Exceptions\SystemExceptions\ErrorOccursWhileAddingTheCustomProperty",
"Value","The following error occurred:","Произошла следующая ошибка:","Localization\Exceptions\SystemExceptions\ExceptionDialogLabel",
"Value","Column '{0}' does not exist in grid","В таблице нет столбца '{0}'","Localization\Exceptions\SystemExceptions\GridColumnDoesNotExist",
"Value","Column '{0}' already exists in grid","В таблице уже имеется столбец '{0}'","Localization\Exceptions\SystemExceptions\GridColumnExists",
