"Property Name",,"it-IT","Node Path","Description"
"Value","Cannot create appropriate property editor for the '{0}.{1}' property","Impossibile creare il Property Editor appropriato per la proprietà '{0}.{1}'.","Localization\Exceptions\SystemExceptions\CannotCreateAppropriatePropertyEditorForTheProperty",
"Value","Can't change schema for attribute","Impossibile modificare lo schema per l'attributo.","Localization\Exceptions\SystemExceptions\CannotCreateSchemaForAttribute",
"Value","Cannot create template by name: '{0}'","Non è possibile creare un modello dal nome: '{0}'.","Localization\Exceptions\SystemExceptions\CannotCreateTemplateByName",
"Value","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Impossibile trovare un discendente della classe XafApplication per rilevare le impostazioni dell'applicazione nelle seguenti cartelle:
{0}
Per un'applicazione Windows Form, questa cartella deve contenere il file eseguibile dell'applicazione.
Per un'applicazione ASP.NET, questa cartella deve contenere l'Assembly contenente l'HttpApplication.","Localization\Exceptions\SystemExceptions\CannotFindDescendantOfXafApplicationClass",
"Value","Can't find ListView with ID='{0}'","Impossibile trovare il controllo ListView con ID = '{0}'.","Localization\Exceptions\SystemExceptions\CannotFindListViewWithId",
"Value","Cannot find the '{0}' member within the '{1}' class","Impossibile trovare il membro '{0}' nella classe '{1}'.","Localization\Exceptions\SystemExceptions\CannotFindTheMemberWithinTheClass",
"Value","Cannot find the '{0}' property within the '{1}' class","Impossibile trovare la proprietà '{0}' all'interno della classe '{1}'.","Localization\Exceptions\SystemExceptions\CannotFindThePropertyWithinTheClass",
"Value","Cannot generate content: the 'ClassName' attribute is empty","Impossibile generare il contenuto: l'attributo 'ClassName' è vuoto.","Localization\Exceptions\SystemExceptions\CannotGenerateContent",
"Value","Cannot obtain the editing object","Non è possibile ottenere l'oggetto di modifica.","Localization\Exceptions\SystemExceptions\CannotObtainTheEditingObject",
"Value","Cannot process the requested url","Impossibile elaborare l'URL richiesto.","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrl",
"Value","Cannot process the requested url, the '{0}' action item was not found","Impossibile elaborare l'URL richiesto, l'Action Item '{0}' non è stato trovato.","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrlActionItemWasNotFound",
"Value","Cannot read dictionary from '{0}' resource of the '{1}' assembly","Impossibile leggere il dizionario dalla risorsa '{0}' dell'assembly '{1}'.","Localization\Exceptions\SystemExceptions\CannotReadDictionaryFromResource",
"Value","Cannot set EditValue by the '{0}' text, available values:\r\n{1}","Impossibile impostare EditValue dalla stringa '{0}'; valori disponibili: \r\n '{1}'.","Localization\Exceptions\SystemExceptions\CannotSetEditValueAvailableValues",
"Value","Cannot set EditValue by the '{0}' text, list is empty","Impossibile impostare EditValue dalla stringa '{0}'; l'elenco è vuoto.","Localization\Exceptions\SystemExceptions\CannotSetEditValueListIsEmpty",
"Value","Cannot show view, unknown context: '{0}'","Impossibile visualizzare la View, contesto sconosciuto: '{0}'.","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownContext",
"Value","Cannot show view, unknown target: '{0}'","Impossibile visualizzare la View, destinazione sconosciuta: '{0}'.","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownTarget",
"Value","Class '{0}' doesn't implement interface '{1}'","La classe '{0}' non implementa l'interfaccia '{1}'.","Localization\Exceptions\SystemExceptions\ClassDoesntImplementInterface",
"Value","The database version is greater than the application version. The application needs to be updated. Please contact your system administrator or download a new version.\r\nAdditional information: the local version {0} of module '{1}' is smaller than version {2} in the database.","La versione del database è maggiore della versione dell'applicazione. L'applicazione deve essere aggiornata. Si prega di contattare l'amministratore di sistema o scaricare una versione aggiornata.\r\nInformazioni aggiuntive: la versione locale '{0}' del modulo '{1}' è minore della versione '{2}' nel database.","Localization\Exceptions\SystemExceptions\CompatibilityApplicationIsOldError",
"Value","The database version is older than the application version. The database needs to be updated.","Il database è una versione precedente rispetto all'applicazione. Il database deve essere aggiornato.","Localization\Exceptions\SystemExceptions\CompatibilityDatabaseIsOldError",
"Value","Config file '{0}' doesn't exists","Il file di configurazione '{0}' non esiste.","Localization\Exceptions\SystemExceptions\ConfigFileDoesNotExists",
"Value","The 'add\[@key=""Modules""]' node should contain module list, config file '{0}'","Il nodo ""add\[@key=\""Modules\ ""]' deve contenere un elenco di moduli, file di configurazione '{0}'.","Localization\Exceptions\SystemExceptions\ConfigFileHasNoModuleNames",
