"Property Name",,"it-IT","Node Path","Description"
"Caption","Data Access Permissions","Data Access Permissions","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemTypePermissionsObjectOwner\OwnMembers\TypePermissionMatrix",
"Caption","User","User","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemUser",
"Caption","Roles","Roles","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemUser\OwnMembers\Roles",
"Caption","Type Operation Permission","Autorizzazione di Operazione su Tipo","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionData",
"Caption","Allow Create","Consenti la Creazione","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionData\OwnMembers\AllowCreate",
"Caption","Allow Delete","Consenti l'Eliminazione","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionData\OwnMembers\AllowDelete",
"Caption","Allow Navigate","Consenti la Navigazione","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionData\OwnMembers\AllowNavigate",
"Caption","Type Operation Permission Descriptor","Descrittore di Autorizzazione di Operazione su Tipo","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor",
"Caption","Object Type","Tipo di Oggetto","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\ObjectType",
"Caption","Parent","Parent","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Parent",
"Caption","Object","Oggetto","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Object",
"Caption","Category","Categoria","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Category",
"Caption","Read","Lettura","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Read",
"Caption","Write","Scrittura","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Write",
"Caption","Create","Creazione","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Create",
"Caption","Delete","Eliminazione","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Delete",
"Caption","Navigate","Navigazione","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Navigate",
"Caption","Type Permission Data","Dati Autorizzazione su Tipo","BOModel\DevExpress.ExpressApp.Security.TypePermissionData",
"Caption","Target Type","Tipo Destinatario","BOModel\DevExpress.ExpressApp.Security.TypePermissionData\OwnMembers\TargetType",
"Caption","Allow Read","Consenti Lettura","BOModel\DevExpress.ExpressApp.Security.TypePermissionData\OwnMembers\AllowRead",
"Caption","Allow Write","Consenti Scrittura","BOModel\DevExpress.ExpressApp.Security.TypePermissionData\OwnMembers\AllowWrite",
"Caption","Type Permission Details","Dettagli Autorizzazione su Tipo","BOModel\DevExpress.ExpressApp.Security.TypePermissionDetails",
"Caption","Member Permissions","Autorizzazioni su Membro","BOModel\DevExpress.ExpressApp.Security.TypePermissionDetails\OwnMembers\MemberPermissions",
"Caption","Object Permissions","Autorizzazioni su Oggetto","BOModel\DevExpress.ExpressApp.Security.TypePermissionDetails\OwnMembers\ObjectPermissions",
"Value","Login: {0}","Login: {0}","Localization\Controls\ServerLog\AuthenticationStandardLogonParametersTemplate",
"Value","User cannot be found through the IsGranted operation.","User cannot be found through the IsGranted operation.","Localization\Controls\ServerLog\CannotFindUser",
"Value","IsGranted has been received.\r\nResponse:{0}.","IsGranted has been received.\r\nResponse:{0}.","Localization\Controls\ServerLog\IsGrantedMessage",
"Value","Permission:\r\n{0}","Permission:\r\n{0}","Localization\Controls\ServerLog\Permission",
"Value","PermissionRequest\r\n{0}","PermissionRequest\r\n{0}","Localization\Controls\ServerLog\PermissionRequest",
"Value","Model Access Modifier","Modificatore di Accesso al Modello","Localization\Enums\DevExpress.ExpressApp.Security.ModelAccessModifier",
"Value","Allow","Consenti","Localization\Enums\DevExpress.ExpressApp.Security.ModelAccessModifier\Allow",
"Value","Deny","Nega","Localization\Enums\DevExpress.ExpressApp.Security.ModelAccessModifier\Deny",
"Value","Object Access","Accesso ad Oggetto","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess",
"Value","AllAccess","Tutti gli Accessi","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\AllAccess",
"Value","ChangeAccess","Modifica Accesso","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\ChangeAccess",
"Value","Create","Creazione","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Create",
"Value","Delete","Eliminazione","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Delete",
"Value","Navigate","Navigazione","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Navigate",
"Value","NoAccess","Nessun Accesso","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\NoAccess",
"Value","Read","Lettura","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Read",
"Value","Write","Modifica","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Write",
"Value","Object Access Modifier","Modificatore Accesso as Oggetto","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccessModifier",
"Value","Allow","Consenti","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccessModifier\Allow",
"Value","Deny","Nega","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccessModifier\Deny",
"Value","None","Nessuno","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccessModifier\None",
"Value","You can not delete the '{0}' object due to the security restrictions.","Non si dispone delle autorizzazioni necessarie ad eliminare l'oggetto '{0}'.","Localization\Exceptions\CanNotDeleteObject",
"Value","You can not save the '{0}' object due to the security restrictions.","Non si dispone delle autorizzazioni necessarie a salvare l'oggetto '{0}'.","Localization\Exceptions\CanNotSaveObject",
"Value","The '{0}' user is last administrator in the system. Unable to revoke administrative rights.","The '{0}' user is last administrator in the system. Unable to revoke administrative rights.","Localization\Exceptions\UserVisibleExceptions\Security\LastAdmin",
"Value","Login failed for '{0}'. {1}","Accesso non riuscito per '{0}. {1}'.","Localization\Exceptions\UserVisibleExceptions\Security\LoginFailed",
"Value","New password is equal to old password.","La nuova Password è uguale alla vecchia Password.","Localization\Exceptions\UserVisibleExceptions\Security\NewPasswordIsEqualToOldPassword",
"Value","Old password is wrong.","La vecchia Password è errata.","Localization\Exceptions\UserVisibleExceptions\Security\OldPasswordIsWrong",
"Value","Passwords are different.","Le Passwords sono differenti.","Localization\Exceptions\UserVisibleExceptions\Security\PasswordsAreDifferent",
"Value","Make sure your user name is correct and retype the password in the correct case.","Si prega di ridigitare le informazioni. Le lettere nelle Password devono essere digitate utilizzando correttamente le maiuscole/minuscole.","Localization\Exceptions\UserVisibleExceptions\Security\RetypeTheInformation",
"Value","The user name must not be empty.","Il Nome Utente non deve essere vuoto.","Localization\Exceptions\UserVisibleExceptions\Security\UserNameIsEmpty",
"Value","Create","La Creazione","Localization\Messages\Create",
"Value","Delete","L'Eliminazione","Localization\Messages\Delete",
"Value"," is granted on member in '{0}' class."," è consentita sul membro del tipo '{0}'.","Localization\Messages\IsGrantedFrom",
"Value"," is inherited from '{0}' class. "," deriva dal tipo '{0}'. ","Localization\Messages\IsInheritedFrom",
"Value","Navigate","La Navigazione","Localization\Messages\Navigate",
"Value","Read","La Lettura","Localization\Messages\Read",
"Value","Write","La Scrittura","Localization\Messages\Write",
"Caption","My Details","Dettagli Personali","NavigationItems\Items\Default\Items\MyDetails",
"Caption","Log On","Accedi","Views\AuthenticationStandardLogonParameters_DetailView",
"Text","Welcome! Please enter your user name and password below.","Benvenuti! Inserire il proprio nome utente e password.","Views\AuthenticationStandardLogonParameters_DetailView\Items\LogonText",
"Caption","Change password on first logon","Modifica password all'accesso successivo","Views\ChangePasswordOnLogonParameters_DetailView",
"Text","For security reasons, you must now set your own password. Please enter your new password in the two text fields below, and be sure not to reuse a password you used before.","Per motivi di sicurezza, inserire la propria password. Si prega di inserire la nuova password nei due campi sottostanti, ed assicurarsi di non usare la password usata precedentemente.","Views\ChangePasswordOnLogonParameters_DetailView\Items\ChangePasswordText",
"Caption","Change Password","Modifica Password","Views\ChangePasswordParameters_DetailView",
"Text","To change your password, please enter your old and new passwords in the text fields below.","Per modificare la propria password, si prega di inserire la vecchia e la nuova password nei campi sottostanti.","Views\ChangePasswordParameters_DetailView\Items\ChangePasswordText",
"Caption","Reset Password","Reimposta Password","Views\ResetPasswordParameters_DetailView",
"Text","Setting the user's password will create a new password for the user automatically, and at the same time disable the user's login with the old password. You must then pass on the new password to the user, so he/she can continue to work with the application. Are you sure you want to do this?","Impostando la password dell'utente, verrà  assegnata all'utente e contemporaneamente verrà  disabilitata la vecchia password. Si dovrà  informare l'utente della nuova password affinchè possa continuare ad utilizzare l'applicazione. Si desidera procedere?","Views\ResetPasswordParameters_DetailView\Items\ResetPasswordText",
"Caption","Role","Ruolo","Views\SecurityStrategyRole_LookupListView",
"Caption","User","Utente","Views\SecurityUserBase_LookupListView",
"Caption","User","Utente","Views\SecurityUserWithRolesBase_LookupListView",
"Value","Warning","Attenzione","Localization\Captions\SchedulerResourceDeletingWarning",
"Value","Please refresh the event detail view to load changes.","Si prega di aggiornare i dettagli dell'evento per visualizzare le modifiche.","Localization\Messages\SchedulerResourceDeletingWarning",
"Caption","Edit Series","Modifica Serie","ActionDesign\Actions\EditSeries",
"Caption","Open Series","Apri Serie","ActionDesign\Actions\OpenSeries",
"Caption","Restore Occurrence","Ripristina Occorrenza","ActionDesign\Actions\RestoreOccurrence",
"Caption","Edit Series","Modifica Serie","ActionDesign\Actions\EditSeriesDetailView",
"Value","Do you want to delete all occurrences of the recurring appointment ""{0}"", or just this one?","Si desidera eliminare tutte le occorrenze dell'appuntamento ricorrente '{0}' o solo questa?","Localization\Controls\SchedulerAspNetModule\DeleteConfirmationCaption",
"Value","This occurrence","Elimina questa &Occorrenza.","Localization\Controls\SchedulerAspNetModule\DeleteConfirmationOccurrence",
"Value","The Series","Elimina la &Serie.","Localization\Controls\SchedulerAspNetModule\DeleteConfirmationSeries",
"Value","Confirm Delete","Conferma Eliminazione","Localization\Controls\SchedulerAspNetModule\DeleteRecurrencePopupControlHeader",
"Value","Recurrence","Ricorrenza","Localization\Controls\SchedulerAspNetModule\RecurrencePopupControlHeader",
"Value","Remove recurrence","Rimuovi Ricorrenza","Localization\Controls\SchedulerAspNetModule\RecurrencePopupControlRemoveRecurrence",
"Caption","Open","Apri","ActionDesign\Actions\OpenCategory",
"Caption","Fill Categories","Riempi Categorie","ActionDesign\Actions\FillCategories",
"Caption","Categorize Images","Cataloga Immagini","ActionDesign\Actions\CategorizeImages",
"Caption","Image Preview List Mode","Modalità Anteprima Elenco Immagini","ActionDesign\Actions\ImagePreviewListMode",
"Caption","List","List","ActionDesign\Actions\ImagePreviewListMode\ChoiceActionItems\List",
"Caption","Thumbnails","Thumbnails","ActionDesign\Actions\ImagePreviewListMode\ChoiceActionItems\Thumbnails",
"Caption","Assembly Image Source Browser","Browser Assembly Origine Immagini","BOModel\DevExpress.ExpressApp.Demos.Win.AssemblyImageSourceBrowser",
"Caption","Category","Categoria","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString",
"Caption","Name","Nome","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString\OwnMembers\Name",
"Caption","Images","Immagini","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString\OwnMembers\Images",
"Caption","File Image Source Browser","Browser File Origine Immagini","BOModel\DevExpress.ExpressApp.Demos.Win.FileImageSourceBrowser",
"Caption","Image Browser Category","Categoria Browser Immagini","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory",
"Caption","Owner","Proprietario","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\Owner",
"Caption","Parent Category","Categoria Padre","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\ParentCategory",
"Caption","Child Categories","Categorie Figlie","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\ChildCategories",
"Caption","Name","Nome","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\Name",
"Caption","Image Node","Nodo Immagine","BOModel\DevExpress.ExpressApp.Demos.Win.ImageNode",
"Caption","Image","Immagine","BOModel\DevExpress.ExpressApp.Demos.Win.ImageNode\OwnMembers\Image",
"Caption","Image","Immagine","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject",
"Caption","Image Name","Nome Immagine","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\ImageName",
"Caption","Small","Piccola","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image12x12",
"Caption","Original","Originale","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image16x16",
"Caption","Large","Grande","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image32x32",
"Caption","Dialog","Molto Grande","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image48x48",
"Caption","Original Image","Immagine Originale","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\OriginalImage",
"Caption","Categories","Categorie","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Categories",
"Caption","Images Group Node","Nodo Gruppo Immagini","BOModel\DevExpress.ExpressApp.Demos.Win.ImagesGroupNode",
"Caption","Images","Immagini","BOModel\DevExpress.ExpressApp.Demos.Win.ImagesGroupNode\OwnMembers\Images",
"Caption","Image Source Browser","Browser Origine Immagini","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase",
"Caption","Image Source Name","Nome Origine Immagine","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\ImageSourceName",
"Caption","Image Categories","Categorie Immagine","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\ImageCategories",
"Caption","Categories","Categorie","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\Categories",
"Caption","Images","Images","NavigationItems\Items\Images",
"Caption","Image Preview Object","Oggetto Anteprima Immagine","Views\ImagePreviewObject_DetailView\Layout\Main\SimpleEditors\ImagePreviewObject",
"Value","Chart data vertical","Dati Grafico Verticale","Localization\PivotGridModule\ChartDataVertical",
"Value","Chart options","Opzioni Grafico","Localization\PivotGridModule\ChartOptions",
"Value","Clear settings","Pulisci Impostazioni","Localization\PivotGridModule\ClearSettings",
"Value","Hide Chart","Nascondi Grafico","Localization\PivotGridModule\HideChart",
"Value","Invoke Wizard","Avvia Procedura Guidata","Localization\PivotGridModule\InvokeWizard",
"Value","Show Chart","Mostra Grafico","Localization\PivotGridModule\ShowChart",
"Value","Show column grand totals","Mostra Colonna Gran Totale","Localization\PivotGridModule\ShowColumnGrandTotals",
"Value","Show column totals","Mostra Colonna Totale","Localization\PivotGridModule\ShowColumnTotals",
"Value","Show row grand totals","Mostra Riga Gran Totale","Localization\PivotGridModule\ShowRowGrandTotals",
"Value","Show row totals","Mostra Riga Totale","Localization\PivotGridModule\ShowRowTotals",
"Caption","Bind Analysis Data","Associa Dati Analisi","ActionDesign\Actions\BindAnalysisData",
"Caption","Unbind Analysis Data","Scollega Dati Analisi","ActionDesign\Actions\UnbindAnalysisData",
"Value","Chart","Grafico","Localization\Controls\AnalysisControl\ChartTabCaption",
"Value","Chart type","Tipo di Grafico","Localization\Controls\AnalysisControl\ChartTypeCaption",
"Value","Chart Wizard","Procedura Guidata Grafico","Localization\Controls\AnalysisControl\ChartWizardText",
"Value","The current pivot grid settings cannot be used to construct a chart of the '{0}' type.","Le impostazioni correnti della griglia pivot non possono essere utilizzate per costruire un grafico di tipo '{0}'.","Localization\Controls\AnalysisControl\IncorrectChartTypeErrorMessage",
"Value","Pivot","Pivot","Localization\Controls\AnalysisControl\PivotTabCaption",
"Value","Print the chart","Stampa Grafico","Localization\Controls\AnalysisControl\PrintChartText",
"Value","Show Column Grand Total","Mostra Colonna Gran Totale","Localization\Controls\AnalysisControl\ShowColumnGrandTotalText",
"Value","Show Row Grand Total","Mostra Riga Gran Totale","Localization\Controls\AnalysisControl\ShowRowGrandTotalText",
"RelatedAnalysisGroupCaption",,,"NavigationItems",
"Caption","Print PivotGrid","Stampa Griglia Pivot","ActionDesign\Actions\PrintPreviewPivotGrid",
"Caption","Print Chart","Stampa Grafico","ActionDesign\Actions\PrintChart",
"Caption","ChartWizard","Procedura Guidata Grafico","ActionDesign\Actions\ChartWizard",
"Caption","Show in Report","Mostra nel Report","ActionDesign\Actions\ShowInReport",
"ToolTip","Show selected records in a report","Mostra i record selezionati nel report.","ActionDesign\Actions\ShowInReport",
"Caption","Report","Report","BOModel\DevExpress.ExpressApp.Reports.ReportData",
"Caption","Report Name","Nome Report","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\ReportName",
"Caption","Data Type","Tipo Dati","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\DataTypeCaption",
"Caption","Is Inplace Report","Report sul Posto","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\IsInplaceReport",
"Value","Data Type","Tipo di Dati","Localization\Controls\ReportsModule\DataType",
"Value","Filter","Filtro","Localization\Controls\ReportsModule\Filter",
"Value","Filter Description","Descrizione Filtro","Localization\Controls\ReportsModule\FilterDescription",
"Value","Filter For Design Preview","Filtro per l'Anteprima","Localization\Controls\ReportsModule\FilterForDesignPreview",
"Value","Filtering","Filtro","Localization\Controls\ReportsModule\Filtering",
"Value","Is Parametrized","E' Parametrizzato","Localization\Controls\ReportsModule\IsParametrized",
"Value","Parameters Object Type","Tipo dell'Oggetto Parametri","Localization\Controls\ReportsModule\ParametersObjectType",
"Value","Report Name","Nome Report","Localization\Controls\ReportsModule\ReportName",
"RelatedReportsGroupCaption",,,"NavigationItems",
"Caption","Reports","Reports","NavigationItems\Items\Reports\Items\Reports",
"Caption","Reports","Reports","Views\ReportData_ListView",
"Caption","Edit","Modifica","ActionDesign\Actions\EditReportController.Edit",
"Caption","Preview","Anteprima","ActionDesign\Actions\PreviewReport",
"Caption","Show Report Designer","Visualizza Progettazione Report","ActionDesign\Actions\ShowReportDesigner",
"Caption","Execute Report","Esegui Report","ActionDesign\Actions\ExecuteReport",
"Caption","New Xaf Report Wizard Parameters","Parametri Procedura Guidata Nuovo Report","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters",
"Caption","Report Type","Tipo Report","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\ReportType",
"Caption","Report Name","Nome Report","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\ReportName",
"Caption","Data Type","Tipo di Dati","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\DataType",
"Value","All Files","Tutti i Files","Localization\Captions\AllFiles",
"Value","Export layout to file...","Esporta layout in un File...","Localization\Captions\ExportLayout",
"Value","Import layout from file...","Importa layout da un File...","Localization\Captions\ImportLayout",
"Value","Error","Errore","Localization\Captions\ReportDesignerError",
"Value","Warning","Attenzione","Localization\Captions\ReportDesignerWarning",
"Value","Report Files","Files Report","Localization\Captions\ReportFiles",
"Value","Report Type","Tipo di Report","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType",
"Value","Label","Etichetta","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType\Label",
"Value","Standard","Standard","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType\Standard",
"Value","The Filter you have set cannot be used as a design time filter because it uses queryable fields.\r\nAn automatic variation of the filter will be created for design time use,\r\nand you can modify this filter yourself by setting the FilterForDesignPreview property.","Il filtro impostato non può essere usato in fase di progettazione perché utilizza campi queryable.\r\nVerrà creata una variazione automatica del filtro per l'utilizzo in fase di progrttazione,\r\ne sarà possibile modificare tale filtro tramite l'impostazione della proprietà FilterForDesignPreview.","Localization\Messages\ReportPreviewFilter",
"Value","Filters with queryable fields cannot be used for the FilterForDesignPreview property.","Non sono ammessi filtri con campi queryable per la proprietà FilterForDesignPreview.","Localization\Messages\WrongReportPreviewFilter",
"Caption","New Report Wizard","Creazione Guidata Nuovo Report","Views\NewXafReportWizardParameters_DetailView",
"Text","To create a new report, please enter a name in the field below and select the primary data type of the report from the list.","Per creare un nuovo report, si prega di immettere il nome nel campo sottostante e di selezionare il tipo di dati principale dall'elenco.","Views\NewXafReportWizardParameters_DetailView\Items\ReportText",
"Caption","Static(11)","Statico(11)","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static",
"Caption","New Report Params","Nuovi Parametri Report","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static\NewReportParams",
"Caption","Simple Editors","Editors Semplici","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static\NewReportParams\SimpleEditors",
"Caption","Preview","Anteprima","ActionDesign\Actions\ShowReportInPreviewWindow",
"ToolTip","Show report in preview window","Mostra Report nella finestra di Anteprima","ActionDesign\Actions\ShowReportInPreviewWindow",
"Caption","Preview","Anteprima","ActionDesign\Actions\ReportViewerDialogController_Preview",
"Caption","Close","Chiudi","ActionDesign\Actions\ReportViewerDialogController_Close",
"Value","Press OK to download the report","Fare click su Ok per scaricare il report.","Localization\Captions\DownloadReportMessage",
"Caption","View","Vista","ActionDesign\Actions\ChangeVariant",
"ToolTip","Switch current view representation","Modifica la rappresentazione della vista corrente","ActionDesign\Actions\ChangeVariant",
"RelatedViewVariantsGroupCaption","View Variants","Varianti Vista","NavigationItems",
"Caption","Save Script","Salva Script","ActionDesign\Actions\SaveScriptForDialogWindow",
"Caption","Pause Recording","Sospendi Registrazione","ActionDesign\Actions\PauseRecording",
"Caption","Resume Recording","Riprendi Registrazione","ActionDesign\Actions\ResumeRecording",
"Caption","Show Script","Mostra Script","ActionDesign\Actions\ShowScript",
"Caption","Save Script","Salva Script","ActionDesign\Actions\SaveScript",
"Caption","Script","Script","BOModel\DevExpress.ExpressApp.ScriptRecorder.Script",
"Caption","Script Log","Log dello Script","BOModel\DevExpress.ExpressApp.ScriptRecorder.Script\OwnMembers\ScriptLog",
"Caption","EasyTest Recorder","Registrazione EasyTest","ActionDesign\Actions\EasyTestRecorder",
"Value","Back Color","Colore Sfondo","Localization\Controls\HtmlEditor\BackcolorHint",
"Value","Bold","Grassetto","Localization\Controls\HtmlEditor\BoldHint",
"Value","Copy","Copia","Localization\Controls\HtmlEditor\CopyHint",
"Value","Cut","Taglia","Localization\Controls\HtmlEditor\CutHint",
"Value","Font","Carattere","Localization\Controls\HtmlEditor\FontCaption",
"Value","Font","Carattere","Localization\Controls\HtmlEditor\FontHint",
"Value","Font Size","Dimensione Carattere","Localization\Controls\HtmlEditor\FontSizeCaption",
"Value","Font Size","Dimensione Carattere","Localization\Controls\HtmlEditor\FontSizeHint",
"Value"," Fore Color","Colore Carattere","Localization\Controls\HtmlEditor\ForecolorHint",
"Value","Indent","Aumenta Rietro","Localization\Controls\HtmlEditor\IndentHint",
"Value","Insert Hyperlink","Inserisci Collegamento","Localization\Controls\HtmlEditor\InsertHyperlinkHint",
"Value","Insert Image","Inserisci Immagine","Localization\Controls\HtmlEditor\InsertImageHint",
"Value","Insert Ordered List","Inserisci Lista Ordinata","Localization\Controls\HtmlEditor\InsertOrderedListHint",
"Value","Insert Unordered List","Inserisci Lista Non Ordinata","Localization\Controls\HtmlEditor\InsertUnorderedListHint",
"Value","Italic","Corsivo","Localization\Controls\HtmlEditor\ItalicHint",
"Value","Justify Center","Centra","Localization\Controls\HtmlEditor\JustifyCenterHint",
"Value","Justify Full","Giustifica","Localization\Controls\HtmlEditor\JustifyFullHint",
"Value","Justify Left","Allinea a Sinistra","Localization\Controls\HtmlEditor\JustifyLeftHint",
"Value","Justify Right","Allinea a Destra","Localization\Controls\HtmlEditor\JustifyRightHint",
"Value","Outdent","Riduci Rientro","Localization\Controls\HtmlEditor\OutdentHint",
"Value","Paste","Incolla","Localization\Controls\HtmlEditor\PasteHint",
"Value","Redo","Ripeti","Localization\Controls\HtmlEditor\RedoHint",
"Value","Remove Formating","Rimuovi Formattazione","Localization\Controls\HtmlEditor\RemoveFormatingHint",
"Value","Remove Hyperlink","Rimuovi Collegamento","Localization\Controls\HtmlEditor\RemoveHyperlinkHint",
"Value","Strikeout","Barrato","Localization\Controls\HtmlEditor\StrikeoutHint",
"Value","Address","Indirizzo","Localization\Controls\HtmlEditor\StyleAddressCaption",
"Value","Heading","Intestazione","Localization\Controls\HtmlEditor\StyleHeadingCaption",
"Value","Normal","Normale","Localization\Controls\HtmlEditor\StyleNormalCaption",
"Value","Styles","Stili","Localization\Controls\HtmlEditor\StylesCaption",
"Value","Styles","Stili","Localization\Controls\HtmlEditor\StylesHint",
"Value","Subscript","Pedice","Localization\Controls\HtmlEditor\SubscriptHint",
"Value","Superscript","Apice","Localization\Controls\HtmlEditor\SuperscriptHint",
"Value","Design","Design","Localization\Controls\HtmlEditor\TabDesignCaption",
"Value","Underline","Sottolineato","Localization\Controls\HtmlEditor\UnderlineHint",
"Value","Undo","Annulla","Localization\Controls\HtmlEditor\UndoHint",
"Value","Object is not valid","Soggetto non valido.","Localization\Controls\SchedulerModuleBase\ObjectNotValid",
"Value","Warning","Attenzione","Localization\Controls\SchedulerModuleBase\RecurrenceChangingHeader",
"Value","All the exceptional occurrences of the current recurring event will be lost. Are you sure?","Tutte le occorrenze eccezionali dell'evento ricorrente corrente andranno perse. Sei sicuro?","Localization\Controls\SchedulerModuleBase\RecurrenceChangingMessage",
"Caption","Refresh KPI","Aggiorna KPI","ActionDesign\Actions\RefreshKpi",
"Caption","Show Chart","Mostra Grafico","ActionDesign\Actions\ShowChart",
"Caption","Base Kpi Object","Oggetto Base Kpi","BOModel\DevExpress.ExpressApp.Kpi.BaseKpiObject",
"Caption","IDate Range","Intervallo IDate","BOModel\DevExpress.ExpressApp.Kpi.IDateRange",
"Caption","Name","Nome","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\Name",
"Caption","Caption","Didascalia","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\Caption",
"Caption","Start Point","Punto Iniziale","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\StartPoint",
"Caption","End Point","Punto Finale","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\EndPoint",
"Caption","Kpi","Kpi","BOModel\DevExpress.ExpressApp.Kpi.KpiDashboardOrganizationItem\OwnMembers\Kpi",
"Caption","Actions Toolbar Visibility","Actions Toolbar Visibility","BOModel\DevExpress.ExpressApp.Kpi.KpiDashboardOrganizationItem\OwnMembers\ActionsToolbarVisibility",
"Caption","Definition","Definizione","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition",
"Caption","Name","Nome","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Name",
"Caption","Active","Attivo","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Active",
"Caption","Target Object Type","Tipo di Oggetto Destinatario","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\TargetObjectType",
"Caption","Criteria","Criteri","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Criteria",
"Caption","Expression","Espressione","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Expression",
"Caption","Green Zone","Zona Verde","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\GreenZone",
