"Property Name",,"hr","Node Path","Description"
"Caption","Object Permissions","Object Permissions","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemTypePermissionsObjectBase\OwnMembers\ObjectPermissions",
"Caption","Type Operation Permissions Owner","Type Operation Permissions Owner","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemTypePermissionsObjectOwner",
"Caption","Type Permissions","Type Permissions","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemTypePermissionsObjectOwner\OwnMembers\TypePermissions",
"Caption","Data Access Permissions","Data Access Permissions","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemTypePermissionsObjectOwner\OwnMembers\TypePermissionMatrix",
"Caption","User","User","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemUser",
"Caption","Roles","Roles","BOModel\DevExpress.ExpressApp.Security.Strategy.SecuritySystemUser\OwnMembers\Roles",
"Caption","Type Operation Permission","Type Operation Permission","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionData",
"Caption","Allow Create","Allow Create","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionData\OwnMembers\AllowCreate",
"Caption","Allow Delete","Allow Delete","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionData\OwnMembers\AllowDelete",
"Caption","Allow Navigate","Allow Navigate","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionData\OwnMembers\AllowNavigate",
"Caption","Type Operation Permission Descriptor","Type Operation Permission Descriptor","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor",
"Caption","Object Type","Object Type","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\ObjectType",
"Caption","Parent","Parent","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Parent",
"Caption","Object","Object","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Object",
"Caption","Category","Category","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Category",
"Caption","Read","Read","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Read",
"Caption","Write","Write","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Write",
"Caption","Create","Create","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Create",
"Caption","Delete","Delete","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Delete",
"Caption","Navigate","Navigate","BOModel\DevExpress.ExpressApp.Security.TypeOperationPermissionDescriptor\OwnMembers\Navigate",
"Caption","Type Permission Data","Type Permission Data","BOModel\DevExpress.ExpressApp.Security.TypePermissionData",
"Caption","Target Type","Target Type","BOModel\DevExpress.ExpressApp.Security.TypePermissionData\OwnMembers\TargetType",
"Caption","Allow Read","Allow Read","BOModel\DevExpress.ExpressApp.Security.TypePermissionData\OwnMembers\AllowRead",
"Caption","Allow Write","Allow Write","BOModel\DevExpress.ExpressApp.Security.TypePermissionData\OwnMembers\AllowWrite",
"Caption","Type Permission Details","Type Permission Details","BOModel\DevExpress.ExpressApp.Security.TypePermissionDetails",
"Caption","Member Permissions","Member Permissions","BOModel\DevExpress.ExpressApp.Security.TypePermissionDetails\OwnMembers\MemberPermissions",
"Caption","Object Permissions","Object Permissions","BOModel\DevExpress.ExpressApp.Security.TypePermissionDetails\OwnMembers\ObjectPermissions",
"Value","Login: {0}","Login: {0}","Localization\Controls\ServerLog\AuthenticationStandardLogonParametersTemplate",
"Value","User cannot be found through the IsGranted operation.","User cannot be found through the IsGranted operation.","Localization\Controls\ServerLog\CannotFindUser",
"Value","IsGranted has been received.\r\nResponse:{0}.","IsGranted has been received.\r\nResponse:{0}.","Localization\Controls\ServerLog\IsGrantedMessage",
"Value","Permission:\r\n{0}","Permission:\r\n{0}","Localization\Controls\ServerLog\Permission",
"Value","PermissionRequest\r\n{0}","PermissionRequest\r\n{0}","Localization\Controls\ServerLog\PermissionRequest",
"Value","Model Access Modifier","Model Access Modifier","Localization\Enums\DevExpress.ExpressApp.Security.ModelAccessModifier",
"Value","Allow","Dopusti","Localization\Enums\DevExpress.ExpressApp.Security.ModelAccessModifier\Allow",
"Value","Deny","Zabrani","Localization\Enums\DevExpress.ExpressApp.Security.ModelAccessModifier\Deny",
"Value","Object Access","Pristup objektu","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess",
"Value","AllAccess","Puni pristup","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\AllAccess",
"Value","ChangeAccess","ChangeAccess","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\ChangeAccess",
"Value","Create","Kreiraj","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Create",
"Value","Delete","Obriši","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Delete",
"Value","Navigate","Navigiraj","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Navigate",
"Value","NoAccess","Bez pristupa","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\NoAccess",
"Value","Read","Čitaj","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Read",
"Value","Write","Piši","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccess\Write",
"Value","Object Access Modifier","Izmjene pristupa objektima","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccessModifier",
"Value","Allow","Dopusti","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccessModifier\Allow",
"Value","Deny","Zabrani","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccessModifier\Deny",
"Value","None","Ni jedan","Localization\Enums\DevExpress.ExpressApp.Security.ObjectAccessModifier\None",
"Value","You can not delete the '{0}' object due to the security restrictions.","You can not delete the '{0}' object due to the security restrictions.","Localization\Exceptions\CanNotDeleteObject",
"Value","You can not save the '{0}' object due to the security restrictions.","You can not save the '{0}' object due to the security restrictions.","Localization\Exceptions\CanNotSaveObject",
"Value","The '{0}' user is last administrator in the system. Unable to revoke administrative rights.","Korisnik '{0}' je posljednji administrator u sustavu. Nije moguće maknuti administratorska prava. ","Localization\Exceptions\UserVisibleExceptions\Security\LastAdmin",
"Value","Login failed for '{0}'. {1}","Prijava nije uspjela za '{0}'. {1}","Localization\Exceptions\UserVisibleExceptions\Security\LoginFailed",
"Value","New password is equal to old password.","Nova lozinka je jednaka staroj.","Localization\Exceptions\UserVisibleExceptions\Security\NewPasswordIsEqualToOldPassword",
"Value","Old password is wrong.","Stara lozinka je pogrešna. ","Localization\Exceptions\UserVisibleExceptions\Security\OldPasswordIsWrong",
"Value","Passwords are different.","Lozinke su različite. ","Localization\Exceptions\UserVisibleExceptions\Security\PasswordsAreDifferent",
"Value","Make sure your user name is correct and retype the password in the correct case.","Provjerite ispravnost korisničkog imena i pretipkajte lozinku u ispravnoj veličini slova. ","Localization\Exceptions\UserVisibleExceptions\Security\RetypeTheInformation",
"Value","The user name must not be empty.","Korisničko ime ne može biti prazno. ","Localization\Exceptions\UserVisibleExceptions\Security\UserNameIsEmpty",
"Value","Create","Create","Localization\Messages\Create",
"Value","Delete","Delete","Localization\Messages\Delete",
"Value"," is granted on member in '{0}' class."," is granted on member in '{0}' class.","Localization\Messages\IsGrantedFrom",
"Value"," is inherited from '{0}' class. "," is inherited from '{0}' class. ","Localization\Messages\IsInheritedFrom",
"Value","Navigate","Navigate","Localization\Messages\Navigate",
"Value","Read","Read","Localization\Messages\Read",
"Value","Write","Write","Localization\Messages\Write",
"Caption","My Details","Moji detalji","NavigationItems\Items\Default\Items\MyDetails",
"Caption","Log On","Prijava","Views\AuthenticationStandardLogonParameters_DetailView",
"Text","Welcome! Please enter your user name and password below.","Welcome! Please enter your user name and password below.","Views\AuthenticationStandardLogonParameters_DetailView\Items\LogonText",
"Caption","Change password on first logon","Promijeni lozinku kod prve prijave","Views\ChangePasswordOnLogonParameters_DetailView",
"Text","For security reasons, you must now set your own password. Please enter your new password in the two text fields below, and be sure not to reuse a password you used before.","Zbog sigurnosnih razloga, morate upisati vlastitu lozinku. Upišite svoju novu lozinku u dva tekst polja ispod i pripazite da ne upišete lozinku koju ste već koristili prije. ","Views\ChangePasswordOnLogonParameters_DetailView\Items\ChangePasswordText",
"Caption","Change Password","Promijeni lozinku","Views\ChangePasswordParameters_DetailView",
"Text","To change your password, please enter your old and new passwords in the text fields below.","Za promjenu lozinke, upišite staru i novu lozinku u tekst polja ispod. ","Views\ChangePasswordParameters_DetailView\Items\ChangePasswordText",
"Caption","Reset Password","Resetiraj lozinku","Views\ResetPasswordParameters_DetailView",
"Text","Setting the user's password will create a new password for the user automatically, and at the same time disable the user's login with the old password. You must then pass on the new password to the user, so he/she can continue to work with the application. Are you sure you want to do this?","Postavljanje lozinke korisniku će automatski kreirati novu lozinku za tog korisnika i istovremeno onemogućiti prijavu korisnika sa starom lozinkom. Novu lozinku morate poslati korisniku kako bi mogao nastaviti rad u aplikaciji. Sigurno želite postaviti lozinku?","Views\ResetPasswordParameters_DetailView\Items\ResetPasswordText",
"Caption","Role","Role","Views\SecurityStrategyRole_LookupListView",
"Caption","User","User","Views\SecurityUserBase_LookupListView",
"Caption","User","User","Views\SecurityUserWithRolesBase_LookupListView",
"Value","Warning","Upozorenje","Localization\Captions\SchedulerResourceDeletingWarning",
"Value","Please refresh the event detail view to load changes.","Osvježite detaljni pogled dogaja za učitavanje promjena.","Localization\Messages\SchedulerResourceDeletingWarning",
"Caption","Edit Series","Edit Series","ActionDesign\Actions\EditSeries",
"Caption","Open Series","Open Series","ActionDesign\Actions\OpenSeries",
"Caption","Restore Occurrence","Restore Occurrence","ActionDesign\Actions\RestoreOccurrence",
"Caption","Edit Series","Edit Series","ActionDesign\Actions\EditSeriesDetailView",
"Value","Do you want to delete all occurrences of the recurring appointment ""{0}"", or just this one?","Želite li obrisati sva pojavljivanja ponavljajućeg sastanka ""{0}"", ili samo ovaj?","Localization\Controls\SchedulerAspNetModule\DeleteConfirmationCaption",
"Value","This occurrence","Ovo pojavljivanje","Localization\Controls\SchedulerAspNetModule\DeleteConfirmationOccurrence",
"Value","The Series","Serije","Localization\Controls\SchedulerAspNetModule\DeleteConfirmationSeries",
"Value","Confirm Delete","Potvrdi brisanje","Localization\Controls\SchedulerAspNetModule\DeleteRecurrencePopupControlHeader",
"Value","Recurrence","Ponavljanje","Localization\Controls\SchedulerAspNetModule\RecurrencePopupControlHeader",
"Value","Remove recurrence","Makni ponavljanje","Localization\Controls\SchedulerAspNetModule\RecurrencePopupControlRemoveRecurrence",
"Caption","Open","Otvori","ActionDesign\Actions\OpenCategory",
"Caption","Fill Categories","Popuni kategorije","ActionDesign\Actions\FillCategories",
"Caption","Categorize Images","Kategoriziraj slike","ActionDesign\Actions\CategorizeImages",
"Caption","Image Preview List Mode","Popisani način pregleda slika","ActionDesign\Actions\ImagePreviewListMode",
"Caption","List","List","ActionDesign\Actions\ImagePreviewListMode\ChoiceActionItems\List",
"Caption","Thumbnails","Thumbnails","ActionDesign\Actions\ImagePreviewListMode\ChoiceActionItems\Thumbnails",
"Caption","Assembly Image Source Browser","Preglednik izvora slika u assembly-u","BOModel\DevExpress.ExpressApp.Demos.Win.AssemblyImageSourceBrowser",
"Caption","Category","Kategorija","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString",
"Caption","Name","Naziv","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString\OwnMembers\Name",
"Caption","Images","Slike","BOModel\DevExpress.ExpressApp.Demos.Win.CategoryString\OwnMembers\Images",
"Caption","File Image Source Browser","Pregledni izvora slika u datoteci","BOModel\DevExpress.ExpressApp.Demos.Win.FileImageSourceBrowser",
"Caption","Image Browser Category","Kategorija preglednika slika","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory",
"Caption","Owner","Vlasnik","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\Owner",
"Caption","Parent Category","Roditelj kategorija","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\ParentCategory",
"Caption","Child Categories","Dijete kategorije","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\ChildCategories",
"Caption","Name","Naziv","BOModel\DevExpress.ExpressApp.Demos.Win.ImageBrowserCategory\OwnMembers\Name",
"Caption","Image Node","Čvor slike","BOModel\DevExpress.ExpressApp.Demos.Win.ImageNode",
"Caption","Image","Slika","BOModel\DevExpress.ExpressApp.Demos.Win.ImageNode\OwnMembers\Image",
"Caption","Image","Slika","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject",
"Caption","Image Name","Naziv slike","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\ImageName",
"Caption","Small","Mala","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image12x12",
"Caption","Original","Original","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image16x16",
"Caption","Large","Velika","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image32x32",
"Caption","Dialog","Dijalog","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Image48x48",
"Caption","Original Image","Originalna slika","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\OriginalImage",
"Caption","Categories","Kategorije","BOModel\DevExpress.ExpressApp.Demos.Win.ImagePreviewObject\OwnMembers\Categories",
"Caption","Images Group Node","Grupni čvor slika","BOModel\DevExpress.ExpressApp.Demos.Win.ImagesGroupNode",
"Caption","Images","Slike","BOModel\DevExpress.ExpressApp.Demos.Win.ImagesGroupNode\OwnMembers\Images",
"Caption","Image Source Browser","Preglednik izvora slika","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase",
"Caption","Image Source Name","Naziv izvora slike","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\ImageSourceName",
"Caption","Image Categories","Kategorije slike","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\ImageCategories",
"Caption","Categories","Kategorije","BOModel\DevExpress.ExpressApp.Demos.Win.ImageSourceBrowserBase\OwnMembers\Categories",
"Caption","Images","Images","NavigationItems\Items\Images",
"Caption","Image Preview Object","Objekt pregleda slike","Views\ImagePreviewObject_DetailView\Layout\Main\SimpleEditors\ImagePreviewObject",
"Value","Chart data vertical","Podaci grafa okomito","Localization\PivotGridModule\ChartDataVertical",
"Value","Chart options","Opcije grafa","Localization\PivotGridModule\ChartOptions",
"Value","Clear settings","Očisti postavke","Localization\PivotGridModule\ClearSettings",
"Value","Hide Chart","Sakrij graf","Localization\PivotGridModule\HideChart",
"Value","Invoke Wizard","Pokreni čarobnjaka","Localization\PivotGridModule\InvokeWizard",
"Value","Show Chart","Prikaži graf","Localization\PivotGridModule\ShowChart",
"Value","Show column grand totals","Prikaži sveukupne sume stupaca","Localization\PivotGridModule\ShowColumnGrandTotals",
"Value","Show column totals","Prikaži sume stupaca","Localization\PivotGridModule\ShowColumnTotals",
"Value","Show row grand totals","Prikaži sveukupne sume redaka","Localization\PivotGridModule\ShowRowGrandTotals",
"Value","Show row totals","Prikaži sume redaka","Localization\PivotGridModule\ShowRowTotals",
"Caption","Bind Analysis Data","Spoji analitičke podatke","ActionDesign\Actions\BindAnalysisData",
"Caption","Unbind Analysis Data","Otpoji analitičke podatke","ActionDesign\Actions\UnbindAnalysisData",
"Value","Chart","Graf","Localization\Controls\AnalysisControl\ChartTabCaption",
"Value","Chart type","Tip grafa","Localization\Controls\AnalysisControl\ChartTypeCaption",
"Value","Chart Wizard","Čarobnjak za graf","Localization\Controls\AnalysisControl\ChartWizardText",
"Value","The current pivot grid settings cannot be used to construct a chart of the '{0}' type.","Trenutne pivot postavke tablice se ne mogu koristiti za izradu grafa '{0}' tipa.","Localization\Controls\AnalysisControl\IncorrectChartTypeErrorMessage",
"Value","Pivot","Pivot","Localization\Controls\AnalysisControl\PivotTabCaption",
"Value","Print the chart","Ispiši graf","Localization\Controls\AnalysisControl\PrintChartText",
"Value","Show Column Grand Total","Prikaži sveukupne sume stupaca","Localization\Controls\AnalysisControl\ShowColumnGrandTotalText",
"Value","Show Row Grand Total","Prikaži sveukupne sume redaka","Localization\Controls\AnalysisControl\ShowRowGrandTotalText",
"RelatedAnalysisGroupCaption",,,"NavigationItems",
"Caption","Print PivotGrid","Ispiši PivotTablicu","ActionDesign\Actions\PrintPreviewPivotGrid",
"Caption","Print Chart","Ispiši graf","ActionDesign\Actions\PrintChart",
"Caption","ChartWizard","GrafČarobnjak","ActionDesign\Actions\ChartWizard",
"Caption","Show in Report","Prikaži u izvještaju","ActionDesign\Actions\ShowInReport",
"ToolTip","Show selected records in a report","Prikaži odabrane zapise u izvještaju","ActionDesign\Actions\ShowInReport",
"Caption","Report","Izvještaj","BOModel\DevExpress.ExpressApp.Reports.ReportData",
"Caption","Report Name","Naziv izvještaja","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\ReportName",
"Caption","Data Type","Tip podataka","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\DataTypeCaption",
"Caption","Is Inplace Report","Inplace Izvještaj","BOModel\DevExpress.ExpressApp.Reports.ReportData\OwnMembers\IsInplaceReport",
"Value","Data Type","Tip podataka","Localization\Controls\ReportsModule\DataType",
"Value","Filter","Filter","Localization\Controls\ReportsModule\Filter",
"Value","Filter Description","Opis filtera","Localization\Controls\ReportsModule\FilterDescription",
"Value","Filter For Design Preview","Filter za pregled dizajna","Localization\Controls\ReportsModule\FilterForDesignPreview",
"Value","Filtering","Filtriranje","Localization\Controls\ReportsModule\Filtering",
"Value","Is Parametrized","Parametriziran","Localization\Controls\ReportsModule\IsParametrized",
"Value","Parameters Object Type","Tip objekta parametara","Localization\Controls\ReportsModule\ParametersObjectType",
"Value","Report Name","Naziv izvještaja","Localization\Controls\ReportsModule\ReportName",
"RelatedReportsGroupCaption",,,"NavigationItems",
"Caption","Reports","Izvještaji","NavigationItems\Items\Reports\Items\Reports",
"Caption","Reports","Izvještaji","Views\ReportData_ListView",
"Caption","Edit","Izmjena","ActionDesign\Actions\EditReportController.Edit",
"Caption","Preview","Pregled","ActionDesign\Actions\PreviewReport",
"Caption","Show Report Designer","Prikaži dizajner izvještaja","ActionDesign\Actions\ShowReportDesigner",
"Caption","Execute Report","Pokreni izvještaj","ActionDesign\Actions\ExecuteReport",
"Caption","New Xaf Report Wizard Parameters","Novi parametri Xaf čarobnjaka za izvještaje ","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters",
"Caption","Report Type","Tip izvještaja","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\ReportType",
"Caption","Report Name","Naziv izvještaja","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\ReportName",
"Caption","Data Type","Tip podataka","BOModel\DevExpress.ExpressApp.Reports.Win.NewXafReportWizardParameters\OwnMembers\DataType",
"Value","All Files","Sve datoteke","Localization\Captions\AllFiles",
"Value","Export layout to file...","Izvezi raspored u datoteku...","Localization\Captions\ExportLayout",
"Value","Import layout from file...","Uvezi raspored iz datoteke...","Localization\Captions\ImportLayout",
"Value","Error","Greška","Localization\Captions\ReportDesignerError",
"Value","Warning","Upozorenje","Localization\Captions\ReportDesignerWarning",
"Value","Report Files","Datoteke izvještaja","Localization\Captions\ReportFiles",
"Value","Report Type","Report Type","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType",
"Value","Label","Oznaka","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType\Label",
"Value","Standard","Standardni","Localization\Enums\DevExpress.ExpressApp.Reports.Win.ReportType\Standard",
"Value","The Filter you have set cannot be used as a design time filter because it uses queryable fields.\r\nAn automatic variation of the filter will be created for design time use,\r\nand you can modify this filter yourself by setting the FilterForDesignPreview property.","Postavljeni filter se ne može koristiti kao dizajn filter jer koristi queryable polja.\r\nKreirat će se automatska varijacija filtera za dizajn,\r\n, a možete i samostalno promijeniti taj filter podešavajući svojstvo FilterForDesignPreview.","Localization\Messages\ReportPreviewFilter",
"Value","Filters with queryable fields cannot be used for the FilterForDesignPreview property.","Filteri s queryable poljima se ne mogu koristiti za FilterForDesignPreview svojstvo.","Localization\Messages\WrongReportPreviewFilter",
"Caption","New Report Wizard","Čarobnjak za novi izvještaj","Views\NewXafReportWizardParameters_DetailView",
"Text","To create a new report, please enter a name in the field below and select the primary data type of the report from the list.","Za kreiranje novog izvještaja, upišite naziv u polje isopd i odaberite s popisa primarni tip podataka za izvještaj.","Views\NewXafReportWizardParameters_DetailView\Items\ReportText",
"Caption","Static(11)","Statički(11)","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static",
"Caption","New Report Params","Novi parametri za izvještaj","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static\NewReportParams",
"Caption","Simple Editors","Jednostavni uređivači","Views\NewXafReportWizardParameters_DetailView\Layout\Main\Static\NewReportParams\SimpleEditors",
"Caption","Preview","Pregled","ActionDesign\Actions\ShowReportInPreviewWindow",
"ToolTip","Show report in preview window","Show report in preview window","ActionDesign\Actions\ShowReportInPreviewWindow",
"Caption","Preview","Pregled","ActionDesign\Actions\ReportViewerDialogController_Preview",
"Caption","Close","Zatvori","ActionDesign\Actions\ReportViewerDialogController_Close",
"Value","Press OK to download the report","Pritisnite 'U redu' za preuzimanje izvještaja","Localization\Captions\DownloadReportMessage",
"Caption","View","Pogled","ActionDesign\Actions\ChangeVariant",
"ToolTip","Switch current view representation","Promijenti reprezentaciju trenutnog pogledaS","ActionDesign\Actions\ChangeVariant",
"RelatedViewVariantsGroupCaption","View Variants","Varijante pogleda","NavigationItems",
"Caption","Save Script","Snimi skriptu","ActionDesign\Actions\SaveScriptForDialogWindow",
"Caption","Pause Recording","Pauziraj snimanje","ActionDesign\Actions\PauseRecording",
"Caption","Resume Recording","Nastavi snimanje","ActionDesign\Actions\ResumeRecording",
"Caption","Show Script","Prikaži skriptu","ActionDesign\Actions\ShowScript",
"Caption","Save Script","Snimi skriptu","ActionDesign\Actions\SaveScript",
"Caption","Script","Skripta","BOModel\DevExpress.ExpressApp.ScriptRecorder.Script",
"Caption","Script Log","Log skripte","BOModel\DevExpress.ExpressApp.ScriptRecorder.Script\OwnMembers\ScriptLog",
"Caption","EasyTest Recorder","EasyTest snimač","ActionDesign\Actions\EasyTestRecorder",
"Value","Back Color","Boja pozadine","Localization\Controls\HtmlEditor\BackcolorHint",
"Value","Bold","Podebljano","Localization\Controls\HtmlEditor\BoldHint",
"Value","Copy","Kopiraj","Localization\Controls\HtmlEditor\CopyHint",
"Value","Cut","Zalijepi","Localization\Controls\HtmlEditor\CutHint",
"Value","Font","Font","Localization\Controls\HtmlEditor\FontCaption",
"Value","Font","Font","Localization\Controls\HtmlEditor\FontHint",
"Value","Font Size","Veličina fonta","Localization\Controls\HtmlEditor\FontSizeCaption",
"Value","Font Size","Veličina fonta","Localization\Controls\HtmlEditor\FontSizeHint",
"Value"," Fore Color"," Boja slova","Localization\Controls\HtmlEditor\ForecolorHint",
"Value","Indent","Uvlačenje","Localization\Controls\HtmlEditor\IndentHint",
"Value","Insert Hyperlink","Ubaci hiperlink","Localization\Controls\HtmlEditor\InsertHyperlinkHint",
"Value","Insert Image","Ubaci sliku","Localization\Controls\HtmlEditor\InsertImageHint",
"Value","Insert Ordered List","Ubaci pobrojanu listu","Localization\Controls\HtmlEditor\InsertOrderedListHint",
"Value","Insert Unordered List","Ubaci neređenu listu","Localization\Controls\HtmlEditor\InsertUnorderedListHint",
"Value","Italic","Ukošeno","Localization\Controls\HtmlEditor\ItalicHint",
"Value","Justify Center","Poravnaj sredinu","Localization\Controls\HtmlEditor\JustifyCenterHint",
"Value","Justify Full","Poravnaj potpuno","Localization\Controls\HtmlEditor\JustifyFullHint",
"Value","Justify Left","Justify lijevo","Localization\Controls\HtmlEditor\JustifyLeftHint",
"Value","Justify Right","Justify desno","Localization\Controls\HtmlEditor\JustifyRightHint",
"Value","Outdent","Izvlačenje","Localization\Controls\HtmlEditor\OutdentHint",
"Value","Paste","Zalijepi","Localization\Controls\HtmlEditor\PasteHint",
"Value","Redo","Ponovi","Localization\Controls\HtmlEditor\RedoHint",
"Value","Remove Formating","Makni formatiranje","Localization\Controls\HtmlEditor\RemoveFormatingHint",
"Value","Remove Hyperlink","Makni hiperlink","Localization\Controls\HtmlEditor\RemoveHyperlinkHint",
"Value","Strikeout","Precrtaj","Localization\Controls\HtmlEditor\StrikeoutHint",
"Value","Address","Address","Localization\Controls\HtmlEditor\StyleAddressCaption",
"Value","Heading","Heading","Localization\Controls\HtmlEditor\StyleHeadingCaption",
"Value","Normal","Normal","Localization\Controls\HtmlEditor\StyleNormalCaption",
"Value","Styles","Stilovi","Localization\Controls\HtmlEditor\StylesCaption",
"Value","Styles","Stilovi","Localization\Controls\HtmlEditor\StylesHint",
"Value","Subscript","Indeks","Localization\Controls\HtmlEditor\SubscriptHint",
"Value","Superscript","Eksponent","Localization\Controls\HtmlEditor\SuperscriptHint",
"Value","Design","Design","Localization\Controls\HtmlEditor\TabDesignCaption",
"Value","Underline","Podcrtaj","Localization\Controls\HtmlEditor\UnderlineHint",
"Value","Undo","Vrati","Localization\Controls\HtmlEditor\UndoHint",
"Value","Object is not valid","Objekt nije ispravan","Localization\Controls\SchedulerModuleBase\ObjectNotValid",
"Value","Warning","Upozorenje","Localization\Controls\SchedulerModuleBase\RecurrenceChangingHeader",
"Value","All the exceptional occurrences of the current recurring event will be lost. Are you sure?","Sva iznimna pojavljivanja ovog ponavljajućeg događaja bit će izgubljena. Jeste li sigurni?","Localization\Controls\SchedulerModuleBase\RecurrenceChangingMessage",
"Caption","Refresh KPI","Osvježi KPI","ActionDesign\Actions\RefreshKpi",
"Caption","Show Chart","Prikaži graf","ActionDesign\Actions\ShowChart",
"Caption","Base Kpi Object","Bazni Kpi objekt","BOModel\DevExpress.ExpressApp.Kpi.BaseKpiObject",
"Caption","IDate Range","IDate raspon","BOModel\DevExpress.ExpressApp.Kpi.IDateRange",
"Caption","Name","Naziv","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\Name",
"Caption","Caption","Naslov","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\Caption",
"Caption","Start Point","Početna točka","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\StartPoint",
"Caption","End Point","Završna točka","BOModel\DevExpress.ExpressApp.Kpi.IDateRange\OwnMembers\EndPoint",
"Caption","Kpi","Kpi","BOModel\DevExpress.ExpressApp.Kpi.KpiDashboardOrganizationItem\OwnMembers\Kpi",
"Caption","Actions Toolbar Visibility","Actions Toolbar Visibility","BOModel\DevExpress.ExpressApp.Kpi.KpiDashboardOrganizationItem\OwnMembers\ActionsToolbarVisibility",
"Caption","Definition","Definicija","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition",
"Caption","Name","Naziv","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Name",
"Caption","Active","Aktivan","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Active",
"Caption","Target Object Type","Ciljni tip objekta","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\TargetObjectType",
"Caption","Criteria","Kriterij","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Criteria",
"Caption","Expression","Izraz","BOModel\DevExpress.ExpressApp.Kpi.KpiDefinition\OwnMembers\Expression",
