"Property Name",,"hr","Node Path","Description"
"Value","Unable to create action for method {0} of class {1}. Action method should be non-generic","Nije moguće kreirati akciju za metodu {0} klase {1}. Metoda akcije bi trebala biti ne-generička. ","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeNonGeneric",
"Value","Unable to create action for method {0} of class {1}. Action method should be parameterless","Nije moguće kreirati akciju za metodu {0} klase {1}. Metoda akcije bi trebala biti bez parametara.","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeParameterless",
"Value","The ObjectSpace has already been assigned to another root view: '{0}'. This error occurs only when you try to assign an ObjectSpace that is already used by a root View to another root view. For instance, you may receive this error when using the XafApplication.CreateDetailView/CreateListView methods in a ViewController and passing the View.ObjectSpace object as a parameter to these methods when the View.IsRoot property is true.\r\nTo avoid this error it's sufficient to pass a new ObjectSpace instance created via the XafApplication.CreateObjectSpace method in these methods, or create non-root Views by passing a corresponding parameter to these methods.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","ObjectSpace je već pridružen drugom korijenskom pogledu: '{0}'. Ova greška se javlja kada ObjectSpace, koji je već pridružen korijenskom pogledu, pokušate pridružiti drugom korijenskom pogledu. Primjerice, ova greška će se pojaviti kada koristite XafApplication.CreateDetailView/CreateListView metode i ViewController i prosljeđujete ObjectSpace kao parametar tim metodama, a postavljeno je View.IsRoot svojstvo.\r\nKako bi izbjegli ovu grešku, dovoljno je proslijediti novu ObjectSpace instancu kreirano pomoću XafApplication.CreateObjectSpace metode u navedenim metodama ili kreirajte ne-korijenski Pogled prosljeđujući odgovarajući parametar u te metode.\r\nAko to ne pomogne, molimo kontaktirajte našu korisničku podršku na http://www.devexpress.com/Support/Center","Localization\Exceptions\SystemExceptions\AlreadyUsedObjectSpace",
"Value","An error has occurred while loading the model. Source: '{0}'","Pojavila se greška kod učitavanja modela. Izvor: '{0}'","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileLoadingTheModel",
"Value","An error occurs while processing a shortcut: {0}","Pojavila se greška kod obrade prečaca: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileProcessingAShortcut",
"Value","An error has occurred, context: {0}","Pojavila se greška, kontekst: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWithContext",
"Value","An unsaved object cannot be shown","Objekt koji nije snimljen ne može se prikazati","Localization\Exceptions\SystemExceptions\AnUnsavedObjectCannotBeShown",
"Value","Application isn't started","Aplikacija nije pokrenuta","Localization\Exceptions\SystemExceptions\ApplicationIsNotStarted",
"Value","The application cannot be updated because the '{1}' assembly doesn't exist in the '{0}' folder.","Aplikacija se ne može ažurirati jer assembly '{1}' ne postoji u mapi '{0}' folder.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterAssemblyDoesNotExist",
"Value","Cannot run the application. The database version is newer than the application version, but the server with the new application version is not found. Ask the administrator to check that the configuration file contains a correct path to the new application version.","Ne mogu pokrenuti aplikaciju. Verzija baze podataka je novija od verzije aplikacije, ali server s novom verzijom aplikacije nije pronađen. Zamolite administratora neka provjeri je li u konfiguracijskoj datoteci upisana ispravna putanja do nove verzije aplikacije. ","Localization\Exceptions\SystemExceptions\ApplicationUpdaterDatabaseVersionIsNewer",
"Value","Attribute modifying failed","Promijena atributa nije uspjela","Localization\Exceptions\SystemExceptions\AttributeModifyingFailed",
"Value","Attribute '{0}' should start with the '@' symbol: '{1}'","Atribut '{0}' mora početi sa znakom '@': '{1}'","Localization\Exceptions\SystemExceptions\AttributeShouldStartWithSymbol",
"Value","The updatingReadOnlyDataStore.AutoCreateOption is {0}","Svojstvo updatingReadOnlyDataStore.AutoCreateOption je {0}","Localization\Exceptions\SystemExceptions\AutoCreateOptionIs",
"Value","You cannot access the Collection property because the Collection Source is being initialized now. This error may occur, for example, when you try to access the Collection property in the OnActivated method of a ViewController. To avoid this error it's necessary to access the Collection property at a later time, when the Collection Source is already initialized. The best way to do this is to handle the CollectionChanged event. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Ne možete pristupiti svojstvu Collection jer se izvor za Collection tek inicijalizira. Ova greška će se pojaviti, primjerice, kada pokušate pristupiti svojstvu Collection u metodi OnActivated klase ViewController. Da bi izbjegli ovu grešku, morate pristupiti svojstvu Collection u kasnijoj fazi, kada je izvor za Collection već inicijaliziran. Najbolji način je obraditi događaj CollectionChanged. Molimo pogledajte korisničke upute proizvoda za detaljnije informacije o ovim klasama i metodama. Ukoliko Vam to ne pomogne, obratite se našoj korisničkoj podršci na http://www.devexpress.com/Support/Center","Localization\Exceptions\SystemExceptions\CannotAccessCollectionCollectionSourceIsBeingIntialized",
"Value","Can't add the '{0}' collection","Ne mogu dodati '{0}' kolekciju","Localization\Exceptions\SystemExceptions\CannotAddCollectionProperty",
"Value","Can't add duplicate property editor: '{0}'","Ne mogu dodati dupli uređivač svojstva: '{0}'","Localization\Exceptions\SystemExceptions\CannotAddDuplicateProperty",
"Value","Can't add to Empty singleton. Create new instance of collection","Ne mogu dodati prazni singleton. Kreirajte novu instancu kolekcije. ","Localization\Exceptions\SystemExceptions\CannotAddToEmptySingleton",
"Value","Cannot create appropriate detail item for the '{0}'","Ne mogu kreirati odgovorajuću detaljnu stavku od '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateAppropriateDetailItem",
"Value","Cannot create appropriate property editor for the '{0}.{1}' property","Ne mogu kreirati odgovarajući uređivač za svojstvo '{0}.{1}'","Localization\Exceptions\SystemExceptions\CannotCreateAppropriatePropertyEditorForTheProperty",
"Value","Can't change schema for attribute","Ne mogu promijeniti shemu za atribut","Localization\Exceptions\SystemExceptions\CannotCreateSchemaForAttribute",
"Value","Cannot create template by name: '{0}'","Cannot create template by name: '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateTemplateByName",
"Value","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Ne mogu pronaći nasljeđenu klasu od XafApplication za čitanje postavki Vaše aplikacije u sljedećim mapama: 
{0}
Za Windows Forms aplikaciju, te mape moraju sadržavati izvršnu datoteku vaše aplikacije.
Za ASP.NET aplikaciju, te mape moraju sadržavati assembly koji sadrži vašu klasu nasljeđenu od WebApplication.this folder(s) must contain the assembly continaing your WebApplication descendant.","Localization\Exceptions\SystemExceptions\CannotFindDescendantOfXafApplicationClass",
"Value","Can't find ListView with ID='{0}'","Ne mogu pronaći ListView s ID='{0}'","Localization\Exceptions\SystemExceptions\CannotFindListViewWithId",
"Value","Cannot find the '{0}' member within the '{1}' class","Cannot find the '{0}' member within the '{1}' class","Localization\Exceptions\SystemExceptions\CannotFindTheMemberWithinTheClass",
"Value","Cannot find the '{0}' property within the '{1}' class","Ne mogu pronaći svojstvo '{0}' unutar klase '{1}'","Localization\Exceptions\SystemExceptions\CannotFindThePropertyWithinTheClass",
"Value","Cannot generate content: the 'ClassName' attribute is empty","Ne mogu generirati sadržaj: atribut 'ClassName' je prazan","Localization\Exceptions\SystemExceptions\CannotGenerateContent",
"Value","Cannot obtain the editing object","Ne mogu dobiti objekt za izmjenu","Localization\Exceptions\SystemExceptions\CannotObtainTheEditingObject",
"Value","Cannot process the requested url","Ne mogu obraditi traženi url","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrl",
"Value","Cannot process the requested url, the '{0}' action item was not found","Ne mogu obraditi traženi url, akcija '{0}' nije pronađena","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrlActionItemWasNotFound",
"Value","Cannot read dictionary from '{0}' resource of the '{1}' assembly","Ne mogu pročitati rječnik iz '{0}' resursa u assembly-u '{1}'","Localization\Exceptions\SystemExceptions\CannotReadDictionaryFromResource",
"Value","Cannot set EditValue by the '{0}' text, available values:\r\n{1}","Ne mogu postaviti EditValue iz teksta '{0}', dostupne vrijednosti:\r\n{1}","Localization\Exceptions\SystemExceptions\CannotSetEditValueAvailableValues",
"Value","Cannot set EditValue by the '{0}' text, list is empty","Ne mogu postaviti EditValue iz teksta '{0}', lista je prazna","Localization\Exceptions\SystemExceptions\CannotSetEditValueListIsEmpty",
"Value","Cannot show view, unknown context: '{0}'","Ne mogu prikazati pogled, nepoznati kontekst: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownContext",
"Value","Cannot show view, unknown target: '{0}'","Ne mogu prikazati pogled, nepoznati cilj: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownTarget",
"Value","Class '{0}' doesn't implement interface '{1}'","Klasa '{0}' ne implementira sučelje '{1}'","Localization\Exceptions\SystemExceptions\ClassDoesntImplementInterface",
"Value","The database version is greater than the application version. The application needs to be updated. Please contact your system administrator or download a new version.\r\nAdditional information: the local version {0} of module '{1}' is smaller than version {2} in the database.","Verzija baze podataka veća je od verzije aplikacije. Potrebno je nadograditi aplikaciju. Molimo kontaktirajte administratora ili preuzmite novu verziju.\r\nDodatne informacije: lokalna verzija {0} modula {1} je manja od verzije {2} u bazi podataka. ","Localization\Exceptions\SystemExceptions\CompatibilityApplicationIsOldError",
