"Property Name",,"en","Node Path","Description"
"Value","The database version is older than the application version. The database needs to be updated.","The database version is older than the application version. The database needs to be updated.","Localization\Exceptions\SystemExceptions\CompatibilityDatabaseIsOldError",
"Value","Config file '{0}' doesn't exists","Config file '{0}' doesn't exists","Localization\Exceptions\SystemExceptions\ConfigFileDoesNotExists",
"Value","The 'add\[@key=""Modules""]' node should contain module list, config file '{0}'","The 'add\[@key=""Modules""]' node should contain module list, config file '{0}'","Localization\Exceptions\SystemExceptions\ConfigFileHasNoModuleNames",
"Value","Unable to set '{0}' property. Current object is not set","Unable to set '{0}' property. Current object is not set","Localization\Exceptions\SystemExceptions\CurrentObjectIsNotSet",
"Value","To avoid this error it's necessary to assign the CustomizePopupWindowParamsEventArgs.View property when handling the CustomizePopupWindowParams event. To accomplish this, create a View using the XafApplication.CreateDetailView/CreateListView methods. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","To avoid this error it's necessary to assign the CustomizePopupWindowParamsEventArgs.View property when handling the CustomizePopupWindowParams event. To accomplish this, create a View using the XafApplication.CreateDetailView/CreateListView methods. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CustomizePopupWindowParamsEventArgsViewIsNull",
"Value","A dataLayer already exists: '{0}'","A dataLayer already exists: '{0}'","Localization\Exceptions\SystemExceptions\DataLayerAlreadyExists",
"Value","Dictionary path item parsing failed. There is a syntax error in expression '{0}'","Dictionary path item parsing failed. There is a syntax error in expression '{0}'","Localization\Exceptions\SystemExceptions\DictionaryPathItemParsingFailed",
"Value","Dictionary path parsing failed. There is a syntax error in expression '{0}'","Dictionary path parsing failed. There is a syntax error in expression '{0}'","Localization\Exceptions\SystemExceptions\DictionaryPathParsingFailed",
"Value","Duplicate Component Identifier '{0}'","Duplicate Component Identifier '{0}'","Localization\Exceptions\SystemExceptions\DuplicateComponentIdentifier",
"Value","Error occurs while adding the '{2}' custom property ('{0}' property type) to the '{1}' type: '{3}'","Error occurs while adding the '{2}' custom property ('{0}' property type) to the '{1}' type: '{3}'","Localization\Exceptions\SystemExceptions\ErrorOccursWhileAddingTheCustomProperty",
"Value","The following error occurred:","The following error occurred:","Localization\Exceptions\SystemExceptions\ExceptionDialogLabel",
"Value","Column '{0}' does not exist in grid","Column '{0}' does not exist in grid","Localization\Exceptions\SystemExceptions\GridColumnDoesNotExist",
"Value","Column '{0}' already exists in grid","Column '{0}' already exists in grid","Localization\Exceptions\SystemExceptions\GridColumnExists",
"Value","Cannot set EditMode property. GridControl has been created already","Cannot set EditMode property. GridControl has been created already","Localization\Exceptions\SystemExceptions\GridControlIsAlreadyCreated",
"Value","Incompatible parameters combination. The PopupWindow has the same ObjectSpace as the main View.  However, the SaveOnAccept property of the Popup Window's DialogController is set to true. Use a new ObjectSpace for the invoked Popup Window or set the DialogController. SaveOnAccept property to false.","Incompatible parameters combination. The PopupWindow has the same ObjectSpace as the main View.  However, the SaveOnAccept property of the Popup Window's DialogController is set to true. Use a new ObjectSpace for the invoked Popup Window or set the DialogController. SaveOnAccept property to false.","Localization\Exceptions\SystemExceptions\IncompatibleParametersCombinationOnViewChanged",
"Value","The passed config file '{0}' doesn't contain the '<add key=""Modules""' node","The passed config file '{0}' doesn't contain the '<add key=""Modules""' node","Localization\Exceptions\SystemExceptions\IncorrectConfigFile",
"Value","Infinite recursion detected: the '{0}' detail view was created {1} times","Infinite recursion detected: the '{0}' detail view was created {1} times","Localization\Exceptions\SystemExceptions\InfiniteRecursionDetected",
"Value","Invalid application version on '{0}'","Invalid application version on '{0}'","Localization\Exceptions\SystemExceptions\InvalidApplicationVersion",
"Value","Invalid value type is assigned to the '{0}' parametrized action. Set the Int, String or DateTime type instead.","Invalid value type is assigned to the '{0}' parametrized action. Set the Int, String or DateTime type instead.","Localization\Exceptions\SystemExceptions\InvalidParametrizedActionValueType",
